protein_group_no	protein_id	description	gene_name	mw	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	P30613	Pyruvate kinase PKLR OS=Homo sapiens GN=PKLR PE=1 SV=2	PKLR	66773.9	0.0	107	915	76	15	29	46	14	131L	4.18999e+06	1.75305e+07	8.6961e+07	1.37724e+08	1.50324e+08	1.6192e+08	1.93345e+08	2.00636e+08	2.40995e+08	2.02647e+08	0.0201131	0.0862537	0.423702	0.67723	0.739397	0.795631	0.952469	0.989527	1.17822	1.0	0.0307146	0.0915345	0.341634	0.452297	0.475868	0.176408	0.152478	0.118858	0.590732	0.0
2	Q5MIZ7	Serine/threonine-protein phosphatase 4 regulatory subunit 3B OS=Homo sapiens GN=SMEK2 PE=1 SV=2	SMEK2	111028.0	0.0	61	160	5	4	0	5	4	131L	2.08969e+06	4.63662e+06	4.12679e+06	6.41537e+06	6.37608e+06	9.60655e+06	3.00028e+07	4.7008e+07	5.45001e+07	5.78072e+07	0.0361493	0.0802084	0.0713888	0.115771	0.111722	0.167312	0.519014	0.813186	0.943152	1.0	0.0753479	0.364021	0.338755	0.339178	0.364294	0.19504	0.17354	0.145104	0.170747	0.0
3	P23919	Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4	DTYMK	27642.1	0.0	63	169	8	4	1	7	4	131L	6.72472e+06	8.27415e+06	1.19512e+07	3.03018e+07	5.5987e+07	6.7945e+07	8.25166e+07	7.8747e+07	8.8031e+07	7.81911e+07	0.0853712	0.104823	0.151499	0.385856	0.717283	0.870026	1.05031	1.00395	1.11917	1.0	0.198207	0.259638	0.253153	0.197362	0.189581	0.246788	0.366703	0.186133	0.307048	0.0
4	Q9NXR1	Nuclear distribution protein nudE homolog 1 OS=Homo sapiens GN=NDE1 PE=1 SV=2	NDE1	43424.8	0.00416157	34	123	6	4	2	4	4	131L	1.15138e+07	1.07418e+07	1.16056e+07	1.63559e+07	2.38735e+07	2.45181e+07	3.87628e+07	4.43637e+07	4.46717e+07	4.60285e+07	0.250145	0.233373	0.252141	0.355343	0.518669	0.532674	0.842149	0.963833	0.970524	1.0	0.258434	0.386617	0.402151	0.417997	0.768594	0.449923	0.340363	0.160062	0.244484	0.0
5	Q07960	Rho GTPase-activating protein 1 OS=Homo sapiens GN=ARHGAP1 PE=1 SV=1	ARHGAP1	57336.1	0.0	57	300	21	8	4	17	8	131L	2.79697e+06	9.49153e+06	1.63761e+07	1.69262e+07	3.65421e+07	1.40105e+08	1.89259e+08	2.00259e+08	2.09383e+08	1.95668e+08	0.0139206	0.0444772	0.0817966	0.0858863	0.186827	0.71393	0.96417	1.02187	1.06825	1.0	0.0314232	0.149745	0.19046	0.125504	0.295048	0.147495	0.157631	0.166256	0.140613	0.0
6	M0QYS1|P40429	60S ribosomal protein L13a (Fragment) OS=Homo sapiens GN=RPL13A PE=1 SV=2|60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2	RPL13A	30674.2|30036.0	0.0	63	104	3	2	0	3	2	131L	7.05925e+06	3.85744e+06	4.53679e+06	6.75249e+06	1.29197e+07	1.92335e+07	8.1596e+07	7.56771e+07	7.73359e+07	4.00909e+07	0.176081	0.0962174	0.113163	0.16843	0.32226	0.479746	2.03528	1.88764	1.92902	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	Q9P219	Protein Daple OS=Homo sapiens GN=CCDC88C PE=1 SV=3	CCDC88C	262460.0	0.0	55	126	3	3	0	3	3	131L	213463.0	271107.0	493381.0	873249.0	2.20262e+06	1.97804e+06	4.07073e+06	1.01271e+07	2.22863e+07	2.47618e+07	0.00862068	0.0109486	0.0199251	0.035266	0.0889524	0.0798829	0.164396	0.408981	0.900028	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Q9P215	Pogo transposable element with KRAB domain OS=Homo sapiens GN=POGK PE=1 SV=2	POGK	77131.7	0.0105918	29	53	3	2	1	2	2	131L	575056.0	1.14534e+06	1.55518e+06	2.08222e+06	1.9605e+06	2.85728e+06	4.51415e+06	1.67612e+07	2.27054e+07	2.56929e+07	0.0223819	0.0445781	0.0605296	0.0810426	0.0763052	0.111209	0.175696	0.652368	0.883723	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	Q9H3M7	Thioredoxin-interacting protein OS=Homo sapiens GN=TXNIP PE=1 SV=1	TXNIP	50676.9	0.0	53	158	5	4	1	4	4	131L	622004.0	1.76588e+06	1.80519e+06	3.90529e+06	4.86569e+06	3.63328e+06	1.12508e+07	1.81724e+07	2.24282e+07	2.0677e+07	0.0300819	0.0854033	0.0873044	0.188871	0.235319	0.175716	0.544121	0.878872	1.08469	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.32318	0.0
10	Q14566	DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1	MCM6	103884.0	0.0	121	877	45	18	12	30	15	131L	6.43654e+06	8.51511e+06	1.38803e+07	1.98748e+07	6.98407e+07	2.67311e+08	4.50636e+08	4.78908e+08	4.59645e+08	4.38566e+08	0.014674	0.0193378	0.0313479	0.0450781	0.159364	0.610328	1.02745	1.09226	1.04831	1.0	0.013095	0.0166572	0.0255099	0.0320762	0.0417778	0.0836489	0.080918	0.0933975	0.0868198	0.0
11	K7EIS0|P23258|Q9NRH3	Tubulin gamma chain (Fragment) OS=Homo sapiens GN=TUBG1 PE=3 SV=1|Tubulin gamma-1 chain OS=Homo sapiens GN=TUBG1 PE=1 SV=2|Tubulin gamma-2 chain OS=Homo sapiens GN=TUBG2 PE=1 SV=1	TUBG1|TUBG2	31400.8|55146.5|55068.4	0.0	60	140	4	3	0	4	3	131L	1.25462e+06	2.57883e+06	3.00005e+06	7.21197e+06	1.16633e+07	8.17019e+06	1.24871e+07	1.64723e+07	2.27147e+07	2.06353e+07	0.0607996	0.124972	0.145384	0.349496	0.565209	0.395932	0.605134	0.798257	1.10077	1.0	0.211253	0.353102	0.373132	0.932591	0.739734	0.349546	0.150331	0.346899	0.532283	0.0
12	Q86VY4	Testis-specific Y-encoded-like protein 5 OS=Homo sapiens GN=TSPYL5 PE=1 SV=2	TSPYL5	50843.9	0.0114416	29	29	2	1	0	2	1	131L	0.0	0.0	26288.9	0.0	873288.0	3.27261e+06	4.21136e+06	5.66598e+06	5.83058e+06	6.16327e+06	0.0	0.0	0.00426541	0.0	0.141692	0.530987	0.683299	0.919314	0.94602	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
