protein_group_no	protein_id	description	gene_name	mw	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	P30613	Pyruvate kinase PKLR OS=Homo sapiens GN=PKLR PE=1 SV=2	PKLR	66773.9	0.0	136	1461	92	18	31	58	16	131L	1.53422e+09	1.55025e+09	1.48611e+09	1.43748e+09	1.37398e+09	1.47573e+09	1.17995e+09	1.42377e+09	1.41436e+09	1.28085e+09	1.1975	1.21005	1.15469	1.12236	1.07279	1.15363	0.921671	1.10698	1.10388	1.0	0.143303	0.149529	0.229645	0.0991305	0.122064	0.161762	0.129259	0.226829	0.163375	0.0
2	O43255	E3 ubiquitin-protein ligase SIAH2 OS=Homo sapiens GN=SIAH2 PE=1 SV=1	SIAH2	38196.0	0.0	66	66	1	1	1	0	0	131L	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	P23919	Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4	DTYMK	27642.1	0.0	75	536	27	11	8	16	8	131L	4.28178e+08	4.2783e+08	3.63764e+08	4.12484e+08	3.76338e+08	4.18959e+08	3.37959e+08	4.13913e+08	3.94042e+08	3.39029e+08	1.2664	1.25955	1.07156	1.21234	1.10951	1.23672	0.996025	1.22135	1.16276	1.0	0.296104	0.18113	0.192748	0.215987	0.0925258	0.0825211	0.0726048	0.19859	0.106796	0.0
4	Q9NXR1	Nuclear distribution protein nudE homolog 1 OS=Homo sapiens GN=NDE1 PE=1 SV=2	NDE1	43424.8	0.0	75	541	11	11	0	11	11	131L	3.17595e+08	3.4606e+08	2.83441e+08	3.08588e+08	2.95504e+08	3.07931e+08	2.48622e+08	3.03119e+08	2.9213e+08	2.51949e+08	1.26122	1.37352	1.12679	1.22462	1.17233	1.22251	0.986683	1.19959	1.15706	1.0	0.231442	0.135426	0.220546	0.10918	0.160751	0.149071	0.173534	0.227601	0.194387	0.0
5	Q07960	Rho GTPase-activating protein 1 OS=Homo sapiens GN=ARHGAP1 PE=1 SV=1	ARHGAP1	57336.1	0.000657895	46	94	4	3	0	4	3	131L	8.64795e+07	8.3301e+07	4.50389e+07	4.91984e+07	4.3314e+07	6.32422e+07	4.57752e+07	5.21747e+07	4.72637e+07	4.05826e+07	2.13095	2.05263	1.10981	1.21231	1.06731	1.55836	1.12795	1.28564	1.16463	1.0	0.548071	0.369489	0.146491	0.0835741	0.0771461	0.357373	0.158156	0.154819	0.121035	0.0
6	Q8IUW1|Q9NXR5	ANKRD10 protein OS=Homo sapiens GN=ANKRD10 PE=2 SV=1|Ankyrin repeat domain-containing protein 10 OS=Homo sapiens GN=ANKRD10 PE=1 SV=2	ANKRD10	18279.2|48058.6	0.00928708	29	29	1	1	0	1	1	131L	1.63331e+06	1.3542e+06	1.27429e+06	1.22819e+06	997304.0	1.27918e+06	676907.0	885806.0	1.09156e+06	1.12361e+06	1.45363	1.20523	1.1341	1.09308	0.887591	1.13846	0.602441	0.788359	0.97148	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	Q9NXR7	BRCA1-A complex subunit BRE OS=Homo sapiens GN=BRE PE=1 SV=2	BRE	48334.1	0.0	66	257	11	6	1	9	6	131L	2.80219e+08	3.11029e+08	2.37318e+08	2.65786e+08	2.64061e+08	2.5908e+08	2.12357e+08	2.70443e+08	2.55502e+08	2.31479e+08	1.20977	1.34265	1.02776	1.14829	1.14175	1.11785	0.918113	1.16902	1.10405	1.0	0.154298	0.168291	0.193151	0.080706	0.119796	0.130636	0.0804663	0.133341	0.0882888	0.0
8	P40429	60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2	RPL13A	30036.0	0.0	69	414	14	10	2	12	10	131L	2.60172e+08	7.012e+08	7.82216e+07	1.44747e+08	3.24383e+08	3.02065e+08	1.77368e+08	2.98736e+08	1.50542e+08	5.24159e+08	0.496204	1.33671	0.150623	0.27763	0.618265	0.575889	0.338214	0.569619	0.286906	1.0	0.104942	0.177354	0.116001	0.117011	0.0731105	0.0790359	0.0584449	0.0980272	0.112686	0.0
9	Q5M775	Cytospin-B OS=Homo sapiens GN=SPECC1 PE=1 SV=1	SPECC1	138905.0	0.0	55	84	2	2	1	1	1	131L	1.45922e+07	1.48729e+07	1.23214e+07	1.42705e+07	1.3724e+07	1.41494e+07	1.15198e+07	1.5872e+07	1.49515e+07	1.22348e+07	1.19268	1.21563	1.00708	1.16639	1.12172	1.1565	0.941561	1.29729	1.22205	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	P02768	Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2	ALB	85067.0	0.000347222	51	153	13	4	5	8	4	131L	9.58348e+07	1.46506e+08	1.2776e+08	1.36439e+08	1.08558e+08	1.14585e+08	1.64851e+08	1.55532e+08	1.40624e+08	1.06687e+08	0.903043	1.38319	1.19752	1.27077	1.02224	1.07543	1.54583	1.46227	1.31556	1.0	0.256637	0.719817	0.235252	0.674727	0.421608	0.465425	0.247424	0.357245	0.341119	0.0
