protein_group_no	protein_id	description	gene_name	mw	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	O75818|X6RLL4	Ribonuclease P protein subunit p40 OS=Homo sapiens GN=RPP40 PE=1 SV=3|Ribonuclease P protein subunit p40 OS=Homo sapiens GN=RPP40 PE=4 SV=1	RPP40	47934.1|39979.8	0.0	53	53	1	1	0	1	1	131L	468097.0	2.22321e+06	2.10328e+06	5.89151e+06	7.63781e+06	7.47014e+06	6.55444e+06	7.63204e+06	5.69462e+06	5.22212e+06	0.0896372	0.425729	0.402764	1.12818	1.46259	1.43048	1.25513	1.46148	1.09048	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	P30613	Pyruvate kinase PKLR OS=Homo sapiens GN=PKLR PE=1 SV=2	PKLR	66773.9	0.0	135	1387	63	21	14	49	21	131L	1.00469e+07	4.7138e+07	1.92252e+08	3.05484e+08	3.15191e+08	3.882e+08	4.69595e+08	4.5367e+08	3.82284e+08	4.65483e+08	0.0214941	0.101607	0.414697	0.658582	0.677141	0.83409	1.00918	0.976087	0.82283	1.0	0.026309	0.0511463	0.211044	0.123105	0.151801	0.106536	0.105214	0.0927606	0.110585	0.0
3	Q5MIZ7	Serine/threonine-protein phosphatase 4 regulatory subunit 3B OS=Homo sapiens GN=SMEK2 PE=1 SV=2	SMEK2	111028.0	0.0	52	241	13	4	8	4	4	131L	3.05434e+06	4.58112e+06	4.83478e+06	7.33307e+06	9.51057e+06	1.686e+07	4.81806e+07	7.48161e+07	6.7967e+07	9.23384e+07	0.0330777	0.0496123	0.0523593	0.0794151	0.102997	0.182589	0.521783	0.810238	0.736064	1.0	0.0566334	0.0817973	0.0808367	0.125336	0.137471	0.198974	0.158276	0.0801713	0.081982	0.0
4	H7C3M7	FERM, RhoGEF and pleckstrin domain-containing protein 2 (Fragment) OS=Homo sapiens GN=FARP2 PE=1 SV=2	FARP2	55226.0	0.0173966	25	25	1	1	1	0	0	131L	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	P23919	Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4	DTYMK	27642.1	0.0	58	196	9	4	1	7	3	131L	1.0969e+06	4.76429e+06	2.05357e+07	6.81862e+07	8.07575e+07	8.80265e+07	9.54387e+07	1.02819e+08	8.51075e+07	9.16046e+07	0.0119087	0.0524831	0.224106	0.738954	0.88618	0.963725	1.04334	1.13099	0.926235	1.0	0.0138665	0.0525124	0.0583457	1.10043	0.34213	0.231079	0.214673	0.270718	0.165446	0.0
6	Q9NXR1	Nuclear distribution protein nudE homolog 1 OS=Homo sapiens GN=NDE1 PE=1 SV=2	NDE1	43424.8	0.00143232	39	157	5	5	1	4	4	131L	1.30809e+07	1.12745e+07	1.18082e+07	1.94322e+07	1.9988e+07	3.00742e+07	3.9212e+07	4.31021e+07	3.83868e+07	5.28337e+07	0.247587	0.213395	0.223497	0.367799	0.378319	0.569225	0.742177	0.815808	0.72656	1.0	0.328032	0.233351	0.245567	0.4306	0.362354	0.46524	0.360557	0.45777	0.355514	0.0
7	Q07960	Rho GTPase-activating protein 1 OS=Homo sapiens GN=ARHGAP1 PE=1 SV=1	ARHGAP1	57336.1	0.0	65	310	19	7	3	16	7	131L	4.50632e+06	7.55692e+06	1.05082e+07	1.32088e+07	3.29155e+07	1.22821e+08	1.73865e+08	1.92983e+08	1.59086e+08	1.85439e+08	0.0239903	0.041162	0.0550986	0.0732648	0.178761	0.659548	0.941453	1.04234	0.860056	1.0	0.0437713	0.0677783	0.107521	0.0937686	0.0771579	0.115414	0.254087	0.151428	0.104404	0.0
8	M0QYS1|P40429	60S ribosomal protein L13a (Fragment) OS=Homo sapiens GN=RPL13A PE=1 SV=2|60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2	RPL13A	30674.2|30036.0	0.0	62	117	3	3	1	2	2	131L	6.23682e+06	8.09796e+06	6.70645e+06	2.03742e+07	8.29933e+06	1.48902e+07	2.96529e+07	2.4406e+07	2.123e+07	2.38239e+07	0.261789	0.33991	0.281501	0.855203	0.348362	0.62501	1.24467	1.02443	0.891121	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	P05387	60S acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1	RPLP2	13949.5	0.0	114	191	4	2	0	4	2	131L	5.74583e+07	4.42947e+07	9.48045e+06	1.41603e+07	9.86074e+06	1.33293e+07	1.95972e+07	3.05614e+07	5.72458e+07	3.67882e+07	1.56187	1.20405	0.257703	0.384914	0.268041	0.362325	0.532704	0.830739	1.55609	1.0	0.566312	0.446808	0.192833	0.161218	0.161908	0.11664	0.222736	0.207166	1.28741	0.0
10	A0A075B746|P82921	28S ribosomal protein S21, mitochondrial OS=Homo sapiens GN=MRPS21 PE=4 SV=1|28S ribosomal protein S21, mitochondrial OS=Homo sapiens GN=MRPS21 PE=1 SV=2	MRPS21	12284.5|12280.5	0.00636104	32	56	2	2	0	2	2	131L	372244.0	981061.0	798856.0	1.65911e+06	2.22078e+06	5.67686e+06	9.96249e+06	6.60294e+06	8.22597e+06	8.50768e+06	0.0437538	0.115315	0.0938981	0.195013	0.261032	0.667263	1.171	0.776115	0.966887	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
